sample,parcela,medida,n_veg_pixels,NDVI,GNDVI,NDRE,CIrededge,SAVI,EVI,VARI,TGI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity
R2_d50_b3,39,R2,65470,0.6973293423652649,0.09838566929101944,0.28782814741134644,0.8229023814201355,0.5594354271888733,0.4011313319206238,2.4625675678253174,0.2231956422328949,0.3123040497303009,0.23447731137275696,0.06904825568199158,0.24680662155151367,0.6860156059265137,0.03953765836178814,1.551791590912769,0.9691877301840596,25.1813904023456,0.6948065502407494,12.609332688946342,186.75461917217913,3.2508686507848967,4.0032723363618175,1.1806317164738558,-0.4873033700142187,0.9613369930678586,0.9702167565112365,0.7565875773817026,1.551791590912769,131.9333477910492,14992.735630603574,0.7180726983851922,0.5364585723107977,0.4227573950462363,0.888566741132848,0.3964536064669355,0.8419006547276882,0.4297428539811576,0.4227417604265471,1.2850993234965804,0.5738378933757654,0.841877456725244,0.3744189356897086,0.4226514999517479,1.5334899063501095,0.6615784693283486,0.8418886170432573
R2_d0_b2,25,R2,65503,0.6725673675537109,0.09899748861789703,0.2547057271003723,0.6940352916717529,0.543707549571991,-1.3243778944015503,1.8204848766326904,0.2262871265411377,0.3183240592479706,0.23188969492912292,0.07881469279527664,0.24755072593688965,0.6832798719406128,0.04114890640144331,1.647823087534762,0.9664669100430965,24.570105075036892,0.6818682342805413,12.092587766353079,175.09680848599825,3.2345850979605197,4.010561283886371,1.2093625485709902,-0.4738345074208688,0.957663281850301,0.9675571006150555,0.794473401808189,1.647823087534762,182.7878585625922,14673.929071175682,0.7070212605450054,0.52783425591642,0.44060783806869114,0.9129006357323739,0.4096062981900347,0.8358734019440535,0.42330412521277905,0.44058528239313977,1.317232027823371,0.5799621317407382,0.8358561331847449,0.36981141871451634,0.440500752332886,1.5690852098645591,0.6664738965310593,0.8358729937296134
R2_d100_b4,53,R2,65419,0.7663772702217102,0.16778631508350372,0.3424309194087982,1.073830246925354,0.6271694302558899,15.81184196472168,1.8659437894821167,0.23589634895324707,0.31356969475746155,0.24922820925712585,0.056039586663246155,0.24402882158756256,0.726222038269043,0.029574398544297956,1.6406176811600055,0.9655655855360864,23.82235485340317,0.6735381401906301,14.486020778767507,218.5463039128326,3.3102656731748166,4.110005462660459,1.2112744740381511,-0.46829536654823484,0.9586379917284604,0.9667356417414195,0.807946002809626,1.6406176811600055,-165.9797344525918,14270.401279063773,0.6985744891135321,0.5023939193900366,0.44798807286790915,0.9527968190879248,0.4353463382737425,0.8309220063859314,0.38639227856556285,0.44804906916706466,1.3825771416212111,0.625698728545091,0.8309191994407825,0.32699360442564956,0.44805751788973647,1.6534367001865915,0.7142053446995937,0.8309117081220461
R2_d0_b2,32,R2,65518,0.6619501709938049,0.08087519556283951,0.25447550415992737,0.6919663548469543,0.5221427083015442,-8.349494934082031,2.1975622177124023,0.21859674155712128,0.31122010946273804,0.22993768751621246,0.07642167806625366,0.23880252242088318,0.6734094023704529,0.04678473978227573,1.6129561232761913,0.9670325201591609,24.46283627076518,0.6854113121732113,11.465954544746472,164.69626985709118,3.192026765439631,3.9476219709758658,1.202054422396001,-0.47730668524686676,0.9569875770932976,0.9681212265941007,0.7837887541945543,1.6129561232761913,265.95423738098924,14798.740099833467,0.7104836290615612,0.5352552558058283,0.4300002586130473,0.8986944788679272,0.40350347117683755,0.8383164490523969,0.4327186391924847,0.42999607979186505,1.2965248314219153,0.5680768041033796,0.8383103173622851,0.380828524620319,0.4300801615133676,1.5428613358121632,0.6525818167063571,0.8382721068235341
R2_d200_b1,4,R2,65532,0.7930458784103394,0.2329055815935135,0.39251014590263367,1.34308922290802,0.6513974070549011,3.825139284133911,1.9223322868347168,0.21177059412002563,0.2996693551540375,0.2521199584007263,0.04931909218430519,0.21522676944732666,0.7309263348579407,0.031921041671594874,1.412850642683924,0.9700155379348244,23.55971301905368,0.6956395382922469,15.057313130988573,231.66493421305,3.2743197600618474,4.015212052864822,1.1499954782018749,-0.4880743495247684,0.9618504178731508,0.9719495372166741,0.7347142003577596,1.412850642683924,-278.7353653457885,14595.233760379228,0.7169085967799173,0.5244846304069268,0.39751859681807233,0.9001140791559803,0.4080911899145886,0.8438540432120993,0.41061412956030796,0.39743951594501115,1.306782396774576,0.5984079125871835,0.8438738606999832,0.3518008067235938,0.39729359726058855,1.5630202014316796,0.6886791811899885,0.8439167634184661
R2_d200_b1,11,R2,65536,0.7713058590888977,0.20357844233512878,0.3500835597515106,1.1063048839569092,0.628903329372406,0.15315675735473633,1.2779009342193604,0.21836544573307037,0.30446857213974,0.24777215719223022,0.05386767536401749,0.22278888523578644,0.7179235219955444,0.03352969928222896,1.5665211397043157,0.9669723758634744,23.71531680762161,0.6794349526518093,14.474946384789446,218.57005323342483,3.282301159354843,4.059798083396232,1.1944607141581947,-0.47614922364995366,0.9596371154632732,0.9684282482176677,0.7870021446070561,1.5665211397043157,-196.22851066867747,14399.663134764214,0.7036617142509691,0.5062779895908981,0.43307419321895424,0.9422937895879411,0.42920641834702133,0.8328927454951889,0.39099032905381004,0.432984257982707,1.3645777764250413,0.6205093537233071,0.8329060959272309,0.33130047155497533,0.4329001867674153,1.631602572027734,0.7103236482242576,0.8329272727428645
R2_d400_b4,52,R2,65533,0.8138867020606995,0.2557508051395416,0.4244464039802551,1.5587897300720215,0.684247612953186,1.4740123748779297,2.5768375396728516,0.21229033172130585,0.30775243043899536,0.25842779874801636,0.0470893532037735,0.227639839053154,0.7513590455055237,0.0324130681256505,1.4388543765161903,0.9671965098227905,21.931422062317164,0.6884739802035096,16.198523159870128,253.8659477259335,3.2532879803560335,4.008830677823415,1.160709799095872,-0.4782461542491891,0.9589155493215014,0.9705274659128097,0.7516794460310066,1.4388543765161903,-415.1173585877011,14843.195990845054,0.7105026915022183,0.5069715766710121,0.40838469681825684,0.9348890539076398,0.4188159235577732,0.8378457312115577,0.38986978168396635,0.4083346361692831,1.3557924103358352,0.6152888775573497,0.8378611661100901,0.32930575628893377,0.40825899413571975,1.6199265973044983,0.7075852808117356,0.8379069988979123
R2_d200_b2,24,R2,65536,0.7501214742660522,0.176122784614563,0.3530157506465912,1.14042067527771,0.6149955987930298,1.5612396001815796,2.286457061767578,0.2080257683992386,0.3041190505027771,0.24202629923820496,0.05953087657690048,0.23705530166625977,0.7127319574356079,0.03843280297975285,1.2622166053908943,0.9746739887403375,24.919372268161982,0.7173426757081216,14.033785232829102,214.83988056427444,3.2437616880526154,3.9270722507678206,1.1034480535994273,-0.5152137402041486,0.9666833895189696,0.9764328880406107,0.6749463848032465,1.2622166053908943,-137.9070108371784,14965.119539896608,0.7362753094443801,0.5491276419904381,0.3638393161083878,0.8499781129119873,0.3778415368661526,0.8544327852668847,0.43990623235284665,0.3638029981958061,1.2340764937769384,0.5640440961100843,0.8544535164760348,0.38307091990330655,0.3637714758646514,1.4748535953412012,0.6558283304138351,0.8544657903670728
R2_d200_b4,51,R2,65532,0.8103863596916199,0.24058087170124054,0.405239462852478,1.4201728105545044,0.6750561594963074,-0.5352804660797119,1.820120096206665,0.22028851509094238,0.3079601526260376,0.25702738761901855,0.04677661135792732,0.2266448438167572,0.7450118064880371,0.03254133962031312,1.4516297062301158,0.9675250059229015,22.349961060204393,0.6865619453996309,15.811321766424877,245.4008037664662,3.2633104008084364,4.0267274802193525,1.1639761542788656,-0.4773824101041323,0.9591350383164843,0.9699580001966028,0.7567582059818545,1.4516297062301158,-368.61665120921936,14689.831847016909,0.7087296176522686,0.5049084361438558,0.40936447247246877,0.9359239868975405,0.42539015045667883,0.8378833659490665,0.386179578083579,0.4093761874140647,1.3603742285267024,0.6221100345134238,0.8378839573222969,0.32529392410736296,0.40929507635369033,1.6282540377078192,0.7097784667532976,0.8379081886637243
R2_d200_b2,33,R2,65516,0.7505459189414978,0.166428342461586,0.3522944450378418,1.121800422668457,0.6045610308647156,1.4103102684020996,2.31256103515625,0.20468692481517792,0.2983276844024658,0.2394285351037979,0.05642182007431984,0.22842009365558624,0.6942817568778992,0.045345526527068976,1.4228756216603775,0.972014484174476,25.421643653851426,0.7057786603903851,13.48752078590496,205.81563489163264,3.2136736049451553,3.9318033067251505,1.1469664353281055,-0.49914115853193447,0.9627289454724303,0.9734409052910994,0.7189513935179059,1.4228756216603775,-70.19104323792419,15438.986367557027,0.7270979926430252,0.5473727771875911,0.39371758483889086,0.8604904077226743,0.39176309995084985,0.8495191449947375,0.4392426618818596,0.39352491438370885,1.2515650000386294,0.5728362457138297,0.8495530035957859,0.38286297840134065,0.39342345045782917,1.4986856219409104,0.6617774220357701,0.8495815175782235
