safra,estagio,parcela,dose,bloco,atributo,valor
2023_2024,V6,123,0,3,rgb_glcmw3_contrast,0.693803
2023_2024,V6,123,0,3,rgb_glcmw3_entropy,1.33507
2023_2024,V6,123,0,3,rgb_glcmw3_correlation,0.533536
2023_2024,V6,123,0,3,rgb_glcmw3_homogeneity,0.745199
2023_2024,V6,123,0,3,rgb_glcmw5_asm,0.203562
2023_2024,V6,123,0,3,rgb_glcmw5_contrast,0.694485
2023_2024,V6,123,0,3,rgb_glcmw5_entropy,1.8801
2023_2024,V6,123,0,3,rgb_glcmw5_correlation,0.678411
2023_2024,V6,123,0,3,rgb_glcmw5_homogeneity,0.744928
2023_2024,V6,123,0,3,rgb_glcmw7_asm,0.15598
2023_2024,V6,123,0,3,rgb_glcmw7_contrast,0.693421
2023_2024,V6,123,0,3,rgb_glcmw7_entropy,2.1805
2023_2024,V6,123,0,3,rgb_glcmw7_correlation,0.740544
2023_2024,V6,123,0,3,rgb_glcmw7_homogeneity,0.744936
2023_2024,V6,132,0,4,NDVI,0.538542
2023_2024,V6,132,0,4,GNDVI,0.216447
2023_2024,V6,132,0,4,NDRE,0.101113
2023_2024,V6,132,0,4,CIrededge,0.228417
2023_2024,V6,132,0,4,SAVI,0.498352
2023_2024,V6,132,0,4,EVI,0.791835
2023_2024,V6,132,0,4,VARI,0.516046
2023_2024,V6,132,0,4,TGI,0.237874
2023_2024,V6,132,0,4,spec_mean,0.385849
2023_2024,V6,132,0,4,spec_std,0.227522
2023_2024,V6,132,0,4,spec_p10,0.126147
2023_2024,V6,132,0,4,spec_p50,0.346151
2023_2024,V6,132,0,4,spec_p90,0.716274
2023_2024,V6,132,0,4,glcm_asm,0.0140857
2023_2024,V6,132,0,4,glcm_contrast,2.53207
2023_2024,V6,132,0,4,glcm_correlation,0.920441
2023_2024,V6,132,0,4,glcm_variance,15.9132
2023_2024,V6,132,0,4,glcm_idm,0.554469
2023_2024,V6,132,0,4,glcm_sum_average,14.7171
2023_2024,V6,132,0,4,glcm_sum_variance,189.648
2023_2024,V6,132,0,4,glcm_sum_entropy,3.38008
2023_2024,V6,132,0,4,glcm_entropy,4.49384
2023_2024,V6,132,0,4,glcm_diff_entropy,1.39354
2023_2024,V6,132,0,4,glcm_imc1,-0.346793
2023_2024,V6,132,0,4,glcm_imc2,0.92099
2023_2024,V6,132,0,4,glcm_mcc,0.923263
2023_2024,V6,132,0,4,glcm_dissimilarity,1.15091
2023_2024,V6,132,0,4,glcm_inertia,2.53207
2023_2024,V6,132,0,4,glcm_cluster_shade,-7.7069
2023_2024,V6,132,0,4,glcm_cluster_prominence,7832.66
2023_2024,V6,132,0,4,glcm_homogeneity,0.596396
2023_2024,V6,132,0,4,glcmw3_asm,0.352198
2023_2024,V6,132,0,4,glcmw3_contrast,0.674136
2023_2024,V6,132,0,4,glcmw3_entropy,1.27492
2023_2024,V6,132,0,4,glcmw3_correlation,0.58734
2023_2024,V6,132,0,4,glcmw3_homogeneity,0.75438
2023_2024,V6,132,0,4,glcmw5_asm,0.228308
2023_2024,V6,132,0,4,glcmw5_contrast,0.679331
2023_2024,V6,132,0,4,glcmw5_entropy,1.83153
2023_2024,V6,132,0,4,glcmw5_correlation,0.740662
2023_2024,V6,132,0,4,glcmw5_homogeneity,0.753175
2023_2024,V6,132,0,4,glcmw7_asm,0.172641
2023_2024,V6,132,0,4,glcmw7_contrast,0.682324
2023_2024,V6,132,0,4,glcmw7_entropy,2.16831
2023_2024,V6,132,0,4,glcmw7_correlation,0.802674
2023_2024,V6,132,0,4,glcmw7_homogeneity,0.752488
2023_2024,V6,132,0,4,rgb_glcm_asm,0.0147757
2023_2024,V6,132,0,4,rgb_glcm_contrast,2.88042
2023_2024,V6,132,0,4,rgb_glcm_correlation,0.891304
2023_2024,V6,132,0,4,rgb_glcm_variance,13.2499
2023_2024,V6,132,0,4,rgb_glcm_idm,0.528825
2023_2024,V6,132,0,4,rgb_glcm_sum_average,14.6476
2023_2024,V6,132,0,4,rgb_glcm_sum_variance,178.738
2023_2024,V6,132,0,4,rgb_glcm_sum_entropy,3.30655
2023_2024,V6,132,0,4,rgb_glcm_entropy,4.50566
2023_2024,V6,132,0,4,rgb_glcm_diff_entropy,1.43912
2023_2024,V6,132,0,4,rgb_glcm_imc1,-0.298752
2023_2024,V6,132,0,4,rgb_glcm_imc2,0.891364
2023_2024,V6,132,0,4,rgb_glcm_mcc,0.895447
2023_2024,V6,132,0,4,rgb_glcm_dissimilarity,1.24217
2023_2024,V6,132,0,4,rgb_glcm_inertia,2.88042
2023_2024,V6,132,0,4,rgb_glcm_cluster_shade,-56.4991
2023_2024,V6,132,0,4,rgb_glcm_cluster_prominence,6319.5
2023_2024,V6,132,0,4,rgb_glcm_homogeneity,0.574143
2023_2024,V6,132,0,4,rgb_glcmw3_asm,0.316349
2023_2024,V6,132,0,4,rgb_glcmw3_contrast,0.747271
2023_2024,V6,132,0,4,rgb_glcmw3_entropy,1.36572
2023_2024,V6,132,0,4,rgb_glcmw3_correlation,0.545847
2023_2024,V6,132,0,4,rgb_glcmw3_homogeneity,0.738571
2023_2024,V6,132,0,4,rgb_glcmw5_asm,0.198262
2023_2024,V6,132,0,4,rgb_glcmw5_contrast,0.75249
2023_2024,V6,132,0,4,rgb_glcmw5_entropy,1.93974
2023_2024,V6,132,0,4,rgb_glcmw5_correlation,0.695368
2023_2024,V6,132,0,4,rgb_glcmw5_homogeneity,0.737522
2023_2024,V6,132,0,4,rgb_glcmw7_asm,0.148161
2023_2024,V6,132,0,4,rgb_glcmw7_contrast,0.755587
2023_2024,V6,132,0,4,rgb_glcmw7_entropy,2.27086
2023_2024,V6,132,0,4,rgb_glcmw7_correlation,0.760738
2023_2024,V6,132,0,4,rgb_glcmw7_homogeneity,0.736807
2023_2024,V6,15,50,1,NDVI,0.53072
2023_2024,V6,15,50,1,GNDVI,0.329731
2023_2024,V6,15,50,1,NDRE,0.131234
2023_2024,V6,15,50,1,CIrededge,0.306772
2023_2024,V6,15,50,1,SAVI,0.496529
2023_2024,V6,15,50,1,EVI,0.693711
2023_2024,V6,15,50,1,VARI,0.353121
2023_2024,V6,15,50,1,TGI,0.160446
2023_2024,V6,15,50,1,spec_mean,0.361171
2023_2024,V6,15,50,1,spec_std,0.221416
